tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac
tt0187696,Anatomy,2000.0,103.0,"Horror,Thriller",6.1,11370.0,2.0,0.0,0.0,2.0,3.0,0.0,0.5,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143
tt0187738,Blade II,2002.0,117.0,"Action,Fantasy,Horror",6.7,193719.0,1.0,0.0,0.0,3.0,4.0,0.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0188030,Butterfly,1999.0,96.0,Drama,7.6,7927.0,1.0,0.0,0.0,3.0,3.0,1.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0188404,Dexter the Dragon & Bumble the Bear,1983.0,84.0,"Animation,Family,Fantasy",7.5,1455.0,1.0,0.0,0.0,3.0,1.0,0.0,0.25,0.0,0.0,5.0,0.2,0.8
tt0188453,Birthday Girl,2001.0,93.0,"Comedy,Crime,Thriller",6.1,23824.0,1.0,1.0,0.0,3.0,3.0,1.0,0.25,0.25,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0188503,The Quiet Family,1998.0,101.0,"Comedy,Crime,Horror",7.0,4022.0,2.0,0.0,0.0,4.0,1.0,2.0,0.3333333333333333,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0188527,Island of Death,1976.0,108.0,Horror,5.1,3110.0,2.0,0.0,0.0,2.0,0.0,1.0,0.5,0.0,0.0,5.0,0.4,0.6
tt0188640,Godzilla 2000,1999.0,99.0,"Action,Adventure,Drama",6.1,7155.0,2.0,0.0,0.0,2.0,1.0,1.0,0.5,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666
tt0188674,Human Traffic,1999.0,99.0,"Comedy,Music",7.1,22422.0,2.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143
tt0188766,King of Comedy,1999.0,85.0,"Comedy,Drama,Romance",7.3,5982.0,2.0,0.0,0.0,2.0,1.0,0.0,0.5,0.0,0.0,5.0,0.4,0.6
tt0188863,Love Stinks,1999.0,94.0,Comedy,5.9,4753.0,2.0,0.0,1.0,2.0,2.0,1.0,0.5,0.0,0.5,8.0,0.375,0.625
tt0189154,Toplo,1978.0,97.0,Comedy,8.6,974.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0
tt0189192,Just Visiting,2001.0,88.0,"Comedy,Fantasy,Sci-Fi",5.8,17847.0,1.0,0.0,0.0,3.0,4.0,2.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0189219,Spring in a Small Town,1948.0,98.0,"Drama,Romance",7.4,2395.0,1.0,0.0,0.0,2.0,2.0,0.0,0.3333333333333333,0.0,0.0,5.0,0.2,0.8
tt0189456,Cut,2000.0,82.0,"Comedy,Horror,Mystery",4.2,3139.0,2.0,1.0,0.0,2.0,5.0,0.0,0.5,0.16666666666666666,0.0,10.0,0.3,0.7
tt0189584,The Big Kahuna,1999.0,90.0,"Comedy,Drama",6.6,13672.0,0.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0
